Date,Open,High,Low,Close,Volume,WMA_10,WMA_30
2010-11-28,119.69000244140625,120.23999786376953,117.98999786376953,118.80000305175781,619723900,118.25199966430664,112.32333348592122
2010-12-05,118.5,123.02999877929688,117.73999786376953,122.88999938964844,1021112700,119.05899963378906,112.71100006103515
2010-12-12,122.62999725341797,124.5999984741211,122.41000366210938,124.4800033569336,688927500,120.04599990844727,113.06400019327799
2010-12-19,125.05000305175781,125.2300033569336,123.75,124.30000305175781,767995900,120.8220001220703,113.57033360799154
2010-12-26,124.63999938964844,125.81999969482422,123.9800033569336,125.5999984741211,362982800,121.6120002746582,114.11133346557617
2011-01-02,125.12999725341797,126.19999694824219,125.04000091552734,125.75,339304000,122.3520004272461,114.7423334757487
2011-01-09,126.70999908447266,127.83000183105469,125.69999694824219,127.13999938964844,688663800,123.21700057983398,115.32433344523112
2011-01-16,126.58000183105469,129.3300018310547,126.19999694824219,129.3000030517578,587344200,123.87500076293945,115.91000010172526
2011-01-23,129.17999267578125,129.63999938964844,127.12999725341797,128.3699951171875,593568300,124.69200057983399,116.59333318074545
2011-01-30,128.2899932861328,130.35000610351562,127.51000213623047,127.72000122070312,841489200,125.43500061035157,117.44399998982747
2011-02-06,128.07000732421875,131.1999969482422,127.75,131.14999389648438,715288600,126.66999969482421,118.21699981689453
2011-02-13,131.44000244140625,133.27999877929688,131.3000030517578,133.11000061035156,658367400,127.69199981689454,119.09866638183594
2011-02-20,133.02999877929688,134.69000244140625,132.32000732421875,134.52999877929688,591262500,128.69699935913087,119.90266621907553
2011-02-27,133.1199951171875,134.55999755859375,129.6999969482422,132.3300018310547,862818700,129.49999923706054,120.6379997253418
2011-03-06,132.82000732421875,133.69000244140625,130.35000610351562,132.47000122070312,1054110800,130.18699951171874,121.3073331197103
2011-03-13,132.86000061035156,133.16000366210938,129.49000549316406,130.83999633789062,1072125000,130.6959991455078,122.05833307902019
2011-03-20,129.99000549316406,130.47999572753906,125.27999877929688,127.76000213623047,1547968900,130.75799942016602,122.7326665242513
2011-03-27,129.35000610351562,131.8699951171875,128.32000732421875,131.3000030517578,746906900,130.957999420166,123.54733327229818
2011-04-03,131.5800018310547,133.77000427246094,130.44000244140625,133.14999389648438,661783400,131.4359992980957,124.28933308919271
2011-04-10,133.42999267578125,134.0,132.30999755859375,132.86000061035156,660648900,131.94999923706055,125.00199966430664
2011-04-17,133.0,133.4499969482422,130.27000427246094,132.0399932861328,775858900,132.03899917602538,125.65366617838542
2011-04-24,130.58999633789062,133.83999633789062,129.50999450683594,133.77999877929688,627087300,132.10599899291992,126.28566614786784
2011-05-01,133.67999267578125,136.57000732421875,133.1999969482422,136.42999267578125,595273300,132.29599838256837,127.0129992167155
2011-05-08,137.07000732421875,137.17999267578125,133.02000427246094,134.1999969482422,897019400,132.4829978942871,127.60166575113932
2011-05-15,134.19000244140625,136.11000061035156,133.38999938964844,134.0399932861328,751471200,132.63999710083007,128.14633229573568
2011-05-22,133.55999755859375,135.02999877929688,132.1199951171875,133.61000061035156,771663900,132.91699752807617,128.65499903361004
2011-05-29,131.97999572753906,133.8699951171875,131.3800048828125,133.50999450683594,752721600,133.49199676513672,129.1556655883789
2011-06-05,134.77000427246094,134.9199981689453,130.0800018310547,130.4199981689453,832982500,133.40399627685548,129.4123321533203
2011-06-12,130.08999633789062,130.36000061035156,127.26000213623047,127.5999984741211,939901900,132.84899673461913,129.65899887084962
2011-06-19,127.88999938964844,129.77000427246094,126.31999969482422,127.05000305175781,1210445900,132.26799697875975,129.88433227539062
2011-06-26,126.62000274658203,129.80999755859375,126.19000244140625,126.80999755859375,1089755100,131.74499740600587,130.15133209228514
